# Analysing data contained in file(s) ['data/ethane~methanol/free/run001/output/lambda-0.000/simfile.dat', 'data/ethane~methanol/free/run001/output/lambda-0.100/simfile.dat', 'data/ethane~methanol/free/run001/output/lambda-0.200/simfile.dat', 'data/ethane~methanol/free/run001/output/lambda-0.300/simfile.dat', 'data/ethane~methanol/free/run001/output/lambda-0.400/simfile.dat', 'data/ethane~methanol/free/run001/output/lambda-0.500/simfile.dat', 'data/ethane~methanol/free/run001/output/lambda-0.600/simfile.dat', 'data/ethane~methanol/free/run001/output/lambda-0.700/simfile.dat', 'data/ethane~methanol/free/run001/output/lambda-0.800/simfile.dat', 'data/ethane~methanol/free/run001/output/lambda-0.900/simfile.dat', 'data/ethane~methanol/free/run001/output/lambda-1.000/simfile.dat']
#Overlap matrix
0.4967 0.1634 0.0866 0.0629 0.0307 0.0133 0.0048 0.0013 0.0003 0.0000 0.0000
0.1634 0.2786 0.1037 0.0865 0.0717 0.0355 0.0145 0.0047 0.0011 0.0002 0.0000
0.1266 0.1037 0.2248 0.0860 0.0886 0.0752 0.0363 0.0138 0.0040 0.0009 0.0001
0.0629 0.0865 0.0860 0.2021 0.0750 0.0750 0.0729 0.0338 0.0120 0.0032 0.0006
0.0307 0.0717 0.0886 0.0750 0.1903 0.0692 0.0719 0.0695 0.0306 0.0101 0.0024
0.0133 0.0355 0.0752 0.0750 0.0692 0.1884 0.0696 0.0708 0.0667 0.0278 0.0085
0.0048 0.0145 0.0363 0.0729 0.0719 0.0696 0.1923 0.0736 0.0722 0.0656 0.0263
0.0013 0.0047 0.0138 0.0338 0.0695 0.0708 0.0736 0.2010 0.0831 0.0790 0.0694
0.0003 0.0011 0.0040 0.0120 0.0306 0.0667 0.0722 0.0831 0.2191 0.1069 0.1240
0.0000 0.0002 0.0009 0.0032 0.0101 0.0278 0.0656 0.0890 0.1069 0.2696 0.1868
0.0000 0.0000 0.0001 0.0006 0.0024 0.0085 0.0263 0.0694 0.1240 0.1868 0.4518
#DG from neighbouring lambda in kcal/mol
0.0000 0.1000 -0.3467 0.0113
0.1000 0.2000 -0.0755 0.0079
0.2000 0.3000 0.0200 0.0062
0.3000 0.4000 -0.0120 0.0056
0.4000 0.5000 -0.1237 0.0057
0.5000 0.6000 -0.2752 0.0060
0.6000 0.7000 -0.4515 0.0064
0.7000 0.8000 -0.6467 0.0067
0.8000 0.9000 -0.8594 0.0072
0.9000 1.0000 -1.0787 0.0086
#PMF from MBAR in kcal/mol
0.0000 0.0000 0.0000
0.1000 -0.3467 0.0113
0.2000 -0.4222 0.0172
0.3000 -0.4022 0.0208
0.4000 -0.4142 0.0236
0.5000 -0.5380 0.0263
0.6000 -0.8132 0.0289
0.7000 -1.2647 0.0315
0.8000 -1.9113 0.0341
0.9000 -2.7708 0.0368
1.0000 -3.8495 0.0397
#TI average gradients and standard deviation in kcal/mol
0.0000 -5.4929 7.6819
0.1000 -1.8395 6.0142
0.2000 -0.0032 4.4877
0.3000 0.1932 3.9704
0.4000 -0.8071 4.0889
0.5000 -1.9839 4.2272
0.6000 -3.7188 4.2133
0.7000 -5.5285 4.6012
0.8000 -7.5164 4.6734
0.9000 -9.7216 4.5939
1.0000 -9.1363 4.5266
#PMF from TI in kcal/mol
0.0000 0.0000
0.1000 -0.3666
0.2000 -0.4588
0.3000 -0.4493
0.4000 -0.4800
0.5000 -0.6195
0.6000 -0.9046
0.7000 -1.3670
0.8000 -2.0193
0.9000 -2.8812
1.0000 -3.8240
#MBAR free energy difference in kcal/mol: 
-3.849472, 0.039748 
#TI free energy difference in kcal/mol: 
-3.824046  
